gene	acession	vfid	VFID	VF_Name	VF_FullName	Bacteria	VFCID	VFcategory	Characteristics	Structure	Function	Mechanism	Reference
per	NP_540331	VF0367	VF0367	LPS	Lipopolysaccharide	Brucella melitensis	VFC0258	Immune modulation	"Brucella possesses a non-classical LPS as compared with the so-called classical LPS from enterobacteria such as Escherichia coli. B. abortus lipid A possesses a diaminoglucose backbone (rather than glucosamine), and acyl groups are longer (C28 rather than C12 and C16) and are only linked to the core by amide bounds (rather than ester and amide bonds).; In contrast to enterobacterial LPSs, Brucella LPS is several-hundred-times less active and toxic than E. coli LPS.; this is an evolutionary adaptation to an intracellular lifestyle, low endotoxic activity is shared by other intracellular pathogens such as Bartonella and Legionella."		Plays a role in entry and early survival inside macrophages; Resistance to innate-immunity anti-bacterial responses; a modulator of the immune response	"The entry and early survival stages of smooth Brucella are lipid-raft-dependent. The entry-gateway seems to include Brucella surface-exposed HSP60-PrPc (cellular prion protein) interaction but also a SR-A (class A scavenger)-lipid-A interaction and is also dependent on the LPS O-chain. And the LPS O-chain ensures the Brucella containing vacuole (BCV) aviodance of fusion with lysosomes transiently; The chemical structure of Brucella LPS permits the bacteria to become highly resistant to anti-bacterial effectors of the innate immune system. Long O-chains at the bacterial surface should provoke a steric hindrance leading to the formation of a protecting barrier. The presence of long O-chains at the surface of Brucella prevents the deposition of complement at the bacterial surface. The O-chains also could prevent a specific recognition of the Pathogen-associated molecular patterns (PAMPs) and as a consequence impair expression of any cytokines or iNOS, both of which are known to be involved in the clearance of intracellular Brucella. The low number of anionic groups in the core lipid A, especially charged phosphate groups could both remove anionic targets and facilitate a tighter aggregation of LPS molecules via their hydrophobic fatty acids, leading to less binding and penetration of antibacterial cationic peptides.;The Brucella LPS forms stable large clusters with MHC-II named macrodomians in the cell surface, interfering with MHC-II presentation of peptides to specific CD4+ T cells."	Abstract(s) in PubMed
wzm	NP_540332	VF0367	VF0367	LPS	Lipopolysaccharide	Brucella melitensis	VFC0258	Immune modulation	"Brucella possesses a non-classical LPS as compared with the so-called classical LPS from enterobacteria such as Escherichia coli. B. abortus lipid A possesses a diaminoglucose backbone (rather than glucosamine), and acyl groups are longer (C28 rather than C12 and C16) and are only linked to the core by amide bounds (rather than ester and amide bonds).; In contrast to enterobacterial LPSs, Brucella LPS is several-hundred-times less active and toxic than E. coli LPS.; this is an evolutionary adaptation to an intracellular lifestyle, low endotoxic activity is shared by other intracellular pathogens such as Bartonella and Legionella."		Plays a role in entry and early survival inside macrophages; Resistance to innate-immunity anti-bacterial responses; a modulator of the immune response	"The entry and early survival stages of smooth Brucella are lipid-raft-dependent. The entry-gateway seems to include Brucella surface-exposed HSP60-PrPc (cellular prion protein) interaction but also a SR-A (class A scavenger)-lipid-A interaction and is also dependent on the LPS O-chain. And the LPS O-chain ensures the Brucella containing vacuole (BCV) aviodance of fusion with lysosomes transiently; The chemical structure of Brucella LPS permits the bacteria to become highly resistant to anti-bacterial effectors of the innate immune system. Long O-chains at the bacterial surface should provoke a steric hindrance leading to the formation of a protecting barrier. The presence of long O-chains at the surface of Brucella prevents the deposition of complement at the bacterial surface. The O-chains also could prevent a specific recognition of the Pathogen-associated molecular patterns (PAMPs) and as a consequence impair expression of any cytokines or iNOS, both of which are known to be involved in the clearance of intracellular Brucella. The low number of anionic groups in the core lipid A, especially charged phosphate groups could both remove anionic targets and facilitate a tighter aggregation of LPS molecules via their hydrophobic fatty acids, leading to less binding and penetration of antibacterial cationic peptides.;The Brucella LPS forms stable large clusters with MHC-II named macrodomians in the cell surface, interfering with MHC-II presentation of peptides to specific CD4+ T cells."	Abstract(s) in PubMed
wzt	NP_540333	VF0367	VF0367	LPS	Lipopolysaccharide	Brucella melitensis	VFC0258	Immune modulation	"Brucella possesses a non-classical LPS as compared with the so-called classical LPS from enterobacteria such as Escherichia coli. B. abortus lipid A possesses a diaminoglucose backbone (rather than glucosamine), and acyl groups are longer (C28 rather than C12 and C16) and are only linked to the core by amide bounds (rather than ester and amide bonds).; In contrast to enterobacterial LPSs, Brucella LPS is several-hundred-times less active and toxic than E. coli LPS.; this is an evolutionary adaptation to an intracellular lifestyle, low endotoxic activity is shared by other intracellular pathogens such as Bartonella and Legionella."		Plays a role in entry and early survival inside macrophages; Resistance to innate-immunity anti-bacterial responses; a modulator of the immune response	"The entry and early survival stages of smooth Brucella are lipid-raft-dependent. The entry-gateway seems to include Brucella surface-exposed HSP60-PrPc (cellular prion protein) interaction but also a SR-A (class A scavenger)-lipid-A interaction and is also dependent on the LPS O-chain. And the LPS O-chain ensures the Brucella containing vacuole (BCV) aviodance of fusion with lysosomes transiently; The chemical structure of Brucella LPS permits the bacteria to become highly resistant to anti-bacterial effectors of the innate immune system. Long O-chains at the bacterial surface should provoke a steric hindrance leading to the formation of a protecting barrier. The presence of long O-chains at the surface of Brucella prevents the deposition of complement at the bacterial surface. The O-chains also could prevent a specific recognition of the Pathogen-associated molecular patterns (PAMPs) and as a consequence impair expression of any cytokines or iNOS, both of which are known to be involved in the clearance of intracellular Brucella. The low number of anionic groups in the core lipid A, especially charged phosphate groups could both remove anionic targets and facilitate a tighter aggregation of LPS molecules via their hydrophobic fatty acids, leading to less binding and penetration of antibacterial cationic peptides.;The Brucella LPS forms stable large clusters with MHC-II named macrodomians in the cell surface, interfering with MHC-II presentation of peptides to specific CD4+ T cells."	Abstract(s) in PubMed
wbkB	NP_540334	VF0367	VF0367	LPS	Lipopolysaccharide	Brucella melitensis	VFC0258	Immune modulation	"Brucella possesses a non-classical LPS as compared with the so-called classical LPS from enterobacteria such as Escherichia coli. B. abortus lipid A possesses a diaminoglucose backbone (rather than glucosamine), and acyl groups are longer (C28 rather than C12 and C16) and are only linked to the core by amide bounds (rather than ester and amide bonds).; In contrast to enterobacterial LPSs, Brucella LPS is several-hundred-times less active and toxic than E. coli LPS.; this is an evolutionary adaptation to an intracellular lifestyle, low endotoxic activity is shared by other intracellular pathogens such as Bartonella and Legionella."		Plays a role in entry and early survival inside macrophages; Resistance to innate-immunity anti-bacterial responses; a modulator of the immune response	"The entry and early survival stages of smooth Brucella are lipid-raft-dependent. The entry-gateway seems to include Brucella surface-exposed HSP60-PrPc (cellular prion protein) interaction but also a SR-A (class A scavenger)-lipid-A interaction and is also dependent on the LPS O-chain. And the LPS O-chain ensures the Brucella containing vacuole (BCV) aviodance of fusion with lysosomes transiently; The chemical structure of Brucella LPS permits the bacteria to become highly resistant to anti-bacterial effectors of the innate immune system. Long O-chains at the bacterial surface should provoke a steric hindrance leading to the formation of a protecting barrier. The presence of long O-chains at the surface of Brucella prevents the deposition of complement at the bacterial surface. The O-chains also could prevent a specific recognition of the Pathogen-associated molecular patterns (PAMPs) and as a consequence impair expression of any cytokines or iNOS, both of which are known to be involved in the clearance of intracellular Brucella. The low number of anionic groups in the core lipid A, especially charged phosphate groups could both remove anionic targets and facilitate a tighter aggregation of LPS molecules via their hydrophobic fatty acids, leading to less binding and penetration of antibacterial cationic peptides.;The Brucella LPS forms stable large clusters with MHC-II named macrodomians in the cell surface, interfering with MHC-II presentation of peptides to specific CD4+ T cells."	Abstract(s) in PubMed
wbkC	NP_540335	VF0367	VF0367	LPS	Lipopolysaccharide	Brucella melitensis	VFC0258	Immune modulation	"Brucella possesses a non-classical LPS as compared with the so-called classical LPS from enterobacteria such as Escherichia coli. B. abortus lipid A possesses a diaminoglucose backbone (rather than glucosamine), and acyl groups are longer (C28 rather than C12 and C16) and are only linked to the core by amide bounds (rather than ester and amide bonds).; In contrast to enterobacterial LPSs, Brucella LPS is several-hundred-times less active and toxic than E. coli LPS.; this is an evolutionary adaptation to an intracellular lifestyle, low endotoxic activity is shared by other intracellular pathogens such as Bartonella and Legionella."		Plays a role in entry and early survival inside macrophages; Resistance to innate-immunity anti-bacterial responses; a modulator of the immune response	"The entry and early survival stages of smooth Brucella are lipid-raft-dependent. The entry-gateway seems to include Brucella surface-exposed HSP60-PrPc (cellular prion protein) interaction but also a SR-A (class A scavenger)-lipid-A interaction and is also dependent on the LPS O-chain. And the LPS O-chain ensures the Brucella containing vacuole (BCV) aviodance of fusion with lysosomes transiently; The chemical structure of Brucella LPS permits the bacteria to become highly resistant to anti-bacterial effectors of the innate immune system. Long O-chains at the bacterial surface should provoke a steric hindrance leading to the formation of a protecting barrier. The presence of long O-chains at the surface of Brucella prevents the deposition of complement at the bacterial surface. The O-chains also could prevent a specific recognition of the Pathogen-associated molecular patterns (PAMPs) and as a consequence impair expression of any cytokines or iNOS, both of which are known to be involved in the clearance of intracellular Brucella. The low number of anionic groups in the core lipid A, especially charged phosphate groups could both remove anionic targets and facilitate a tighter aggregation of LPS molecules via their hydrophobic fatty acids, leading to less binding and penetration of antibacterial cationic peptides.;The Brucella LPS forms stable large clusters with MHC-II named macrodomians in the cell surface, interfering with MHC-II presentation of peptides to specific CD4+ T cells."	Abstract(s) in PubMed
lpxC	NP_539503	CVF383	
lpxD	NP_539748	CVF383	
fabZ	NP_539749	CVF383	
lpxA	NP_539750	CVF383	
lpxB	NP_539752	CVF383	
kdsA	NP_539767	CVF383	
htrB	NP_540032	CVF383	
kdsB	NP_540821	CVF383	
acpXL	NP_540028	CVF383	
acpXL	NP_540392	CVF383	
lpxE	NP_540129	CVF383	
wboA	NP_539915	CVF383	
wbpZ	NP_540310	CVF383	
lpsA	NP_540243	CVF383	
lpsB/lpcC	NP_539426	CVF383	
wbdA	NP_539914	CVF383	
wbpL	NP_540343	CVF383	
virB12	NP_541013	SS043	
ricA	NP_539653	VF0414	
btpA	NP_540591	VF0412	VF0412	BtpA/Btp1/TcpB	TIR domain-containing protein	Brucella melitensis	VFC0258	Immune modulation	Translocated by Brucella into host cells; may be substrates of the VirB T4SS	Contains Toll-interleukin-1 receptor (TIR) domain	Inhibits maturation of dendritic cells and production of proinflammatory cytokines; involved in microtubule dynamics	"Btp1/TcpB is thought to enter the host cytosol by an unknown mechanism, where it mediates ubiquitination and degradation of Mal (MyD88 adaptor-like), an adaptor required for both TLR2 and TLR4. This leads to proteasomal degradation and inhibition of signaling via TLR2 and TLR4."	Abstract(s) in PubMed
btpB	NP_697749	VF0522	VF0522	BtpB		Brucella suis	VFC0258	Immune modulation	Translocated into host cells; may be the substrates for the VirB T4SS		TIR domain-containing protein BtpB also interfere with Toll like receptor signalling to temper the host inflammatory response; also modulates microtubule dynamics		Abstract(s) in PubMed
bimA	YP_111499	VF0427	VF0427	BimA	Burkholderia intracellular motility A	Burkholderia pseudomallei	VFC0204	Motility	"Belongs to the Oca/type Vc family of TAAs with a <beta> barrel sequence and linker region with 48% similarity to the Y.enterocolitica YadA C-terminal (pfam domain 03895); The BimA passenger domain of B. pseudomallei, B. mallei and B. thailandensis differ markedly in primary sequence resulting in differences in the number of WH2 domains, sequence of proline-rich motifs and the presence of a central and acidic (CA) domain, indicating that they may initiate actin assembly by distinct mechanisms"	"Contains proline-rich sequence motifs and WH2-like domains, similar to those found in many proteins involved in the modulation of actin dynamics"	Inducing polymerization of actin at one pole of the bacterial cell to promote bacterial movement within and between host cells		Abstract(s) in PubMed
pilA	YP_107407	VF0431	VF0431	Type IV pili		Burkholderia pseudomallei	VFC0001	Adherence	Type IVa pili		Plays a role in adherence		Abstract(s) in PubMed
pilB	YP_109603	VF0431	VF0431	Type IV pili		Burkholderia pseudomallei	VFC0001	Adherence	Type IVa pili		Plays a role in adherence		Abstract(s) in PubMed
pilC	YP_109604	VF0431	VF0431	Type IV pili		Burkholderia pseudomallei	VFC0001	Adherence	Type IVa pili		Plays a role in adherence		Abstract(s) in PubMed
pilD	YP_109605	VF0431	VF0431	Type IV pili		Burkholderia pseudomallei	VFC0001	Adherence	Type IVa pili		Plays a role in adherence		Abstract(s) in PubMed
pilV	YP_111601	VF0431	VF0431	Type IV pili		Burkholderia pseudomallei	VFC0001	Adherence	Type IVa pili		Plays a role in adherence		Abstract(s) in PubMed
pilS	YP_111603	VF0431	VF0431	Type IV pili		Burkholderia pseudomallei	VFC0001	Adherence	Type IVa pili		Plays a role in adherence		Abstract(s) in PubMed
pilR	YP_111604	VF0431	VF0431	Type IV pili		Burkholderia pseudomallei	VFC0001	Adherence	Type IVa pili		Plays a role in adherence		Abstract(s) in PubMed
pilQ	YP_111605	VF0431	VF0431	Type IV pili		Burkholderia pseudomallei	VFC0001	Adherence	Type IVa pili		Plays a role in adherence		Abstract(s) in PubMed
pilO	YP_111607	VF0431	VF0431	Type IV pili		Burkholderia pseudomallei	VFC0001	Adherence	Type IVa pili		Plays a role in adherence		Abstract(s) in PubMed
pilN	YP_111608	VF0431	VF0431	Type IV pili		Burkholderia pseudomallei	VFC0001	Adherence	Type IVa pili		Plays a role in adherence		Abstract(s) in PubMed
pilT	YP_111610	VF0431	VF0431	Type IV pili		Burkholderia pseudomallei	VFC0001	Adherence	Type IVa pili		Plays a role in adherence		Abstract(s) in PubMed
boaA	YP_110805	VF0434	VF0434	BoaA	Burkholderia oligomeric coiled-coil adhesin A	Burkholderia pseudomallei	VFC0001	Adherence			Function as adhesin in vitro and to contribute to B. pseudomallei replication inside macrophage-like cells		Abstract(s) in PubMed
boaB	YP_108306	VF0435	VF0435	BoaB	Burkholderia oligomeric coiled-coil adhesin B	Burkholderia pseudomallei	VFC0001	Adherence			Function as adhesin in vitro and to contribute to B. pseudomallei replication inside macrophage-like cells		Abstract(s) in PubMed
bprC	YP_111526	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bprD	YP_111527	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bprB	YP_111528	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bicP	YP_111529	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bopA	YP_111530	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bopE	YP_111531	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bapC	YP_111532	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bapB	YP_111533	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bapA	YP_111534	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bipD	YP_111535	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bprA	YP_111536	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bipC	YP_111537	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bipB	YP_111538	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bicA	YP_111539	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bsaZ	YP_111540	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bsaY	YP_111541	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bsaX	YP_111542	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
