Name	Family	Origin	Length
ISNme5	IS110	Neisseria meningitidis	1143
ISNml1	IS1380	Nakamurella multipartita	1636
ISNml2	IS1380	Nakamurella multipartita	1689
ISNml3	IS1182	Nakamurella multipartita	1798
ISNmo1	IS1595	Nitrococcus mobilis	1114
ISNol1	IS1595	Nitrosomonas oligotropha	726
ISNosp1	IS1380	Nocardioides sp.	1678
ISNov3	IS1595	Novosphingobium sp.	3622
ISNpa1	IS1595	Natrinema pallidum	1046
ISNpe21	IS1595	Natrinema pellirubrum	1001
ISNpe22	IS1595	Natrinema pellirubrum	1001
ISNpe23	IS1595	Natrinema pellirubrum	1001
ISNpe28	IS1595	Natrinema pellirubrum	944
ISNpe6	IS1595	Natrinema pellirubrum	1004
ISNpe7	IS1595	Natrinema pellirubrum	1004
ISNph2	IS1595	Natronomonas pharaonis	1003
ISNpu1	IS1182	Nostoc punctiforme	1803
ISNpu9	IS1	Nostoc punctiforme	778
ISNsh1	IS1595	Neisseria shayeganii	719
ISNtsp3	IS1595	Nitrosomonas sp.	1045
ISNtsp4	IS1595	Nitrosomonas sp.	1051
ISNtsp5	IS1595	Nitrosomonas sp.	970
ISNtsp6	IS1595	Nitrosomonas sp.	738
ISNur1	IS1595	Nitrosomonas ureae	726
ISNwa1	IS1595	Neisseria wadsworthii	719
ISNwa2	IS1595	Neisseria wadsworthii	737
ISNwi1	IS1595	Nitrobacter winogradskyi	2348
ISNwi2	IS1595	Nitrobacter winogradskyi	1750
ISNwi3	IS1595	Nitrobacter winogradskyi	2345
ISNwi4	IS1595	Nitrobacter winogradskyi	3671
ISOan10	IS1595	Octadecabacter antarcticus	1167
ISOan2	IS1380	Octadecabacter antarcticus	1655
ISOar1	IS1595	Octadecabacter arcticus	1044
ISOba3	IS1	Oceanicola batsensis	2598
ISOdsp1	IS1595	Odoribacter splanchnicus	1100
ISOih1	IS1182	Oceanobacillus iheyensis	1563
ISOpb1	IS1	Opitutaceae bacterium	4054
ISOpi1	IS1595	Oceanobacillus picturae	1885
ISOt5	IS110	Orientia tsutsugamushi	1245
ISP2	IS1182	Lactobacillus plantarum	1796
ISPa11	IS110	Pseudomonas aeruginosa	1372
ISPa119	IS110	Pseudomonas aeruginosa	1378
ISPa14	IS1	Pseudomonas aeruginosa	788
ISPa21	IS110	Pseudomonas aeruginosa	1364
ISPa22	IS1182	Pseudomonas aeruginosa	1664
ISPa25	IS110	Pseudomonas aeruginosa	1409
ISPa29	IS110	Pseudomonas aeruginosa	1534
ISPa33	IS1380	Pseudomonas aeruginosa	1561
ISPa34	IS110	Pseudomonas aeruginosa	1216
ISPa49	IS110	Pseudomonas aeruginosa	1417
ISPa53	IS110	Pseudomonas aeruginosa	1381
ISPa55	IS110	Pseudomonas aeruginosa	1543
ISPa62	IS110	Pseudomonas aeruginosa	1382
ISPa7	IS1182	Pseudomonas aeruginosa	1669
ISPa71	IS110	Pseudomonas aeruginosa	1426
ISPa72	IS1595	Pseudomonas aeruginosa	1048
ISPa76	IS1182	Pseudomonas aeruginosa	1657
ISPa90	IS1182	Pseudomonas aeruginosa	1677
ISPa92	IS1182	Pseudomonas aeruginosa	1587
ISPa94	IS1182	Pseudomonas aeruginosa	22
ISPaen1	IS1380	Paenibacillus sp.	1851
ISPaen4	IS1595	Paenibacillus sp.	1936
ISPaen5	IS1595	Paenibacillus sp.	996
ISPaen6	IS1595	Paenibacillus sp.	1018
ISPaen7	IS1595	Paenibacillus sp.	1017
ISPana1	IS1595	Paenibacillus naphthalenovorans	2006
ISPath1	IS110	Pandoraea thiooxydans	1357
ISPba1	IS1595	Porphyromonadaceae bacterium	1086
ISPba2	IS1595	Porphyromonadaceae bacterium	1091
ISPbo1	IS1595	Pseudomonas borbori	1036
ISPbu1	IS1595	Prevotella buccae	1061
ISPcc4	IS1182	Pectbacterium carotovorum	1767
ISPch1	IS1595	Pontibacillus chungwhensis	1475
ISPda1	IS1	Photobacterium damselae	780
ISPdo1	IS1595	Planococcus donghaensis	1597
ISPels1	IS1595	Pelomonas sp.	1166
ISPelu1	IS1380	Pelodictyon luteolum	1742
ISPemu1	IS1595	Petrimonas mucosa	995
ISPepr2	IS1595	Pelobacter propionicus	1081
ISPesp2	IS1595	Pseudoalteromonas sp.	1675
ISPfa1	IS110	Pandoraea faecigallinarum	1441
ISPfa2	IS110	Pandoraea faecigallinarum	1427
ISPfe2	IS1634	Paracoccus ferrooxidans	1884
ISPfl1	IS110	Pseudomonas fluorescens	1342
ISPfl3	IS1182	Pseudomonas fluorescens	1585
ISPge1	IS1595	Pseudomonas geniculata	1072
ISPgo1	IS1595	Psychroflexus gondwanensis	959
ISPho1	IS1595	Paraburkholderia hospita	1078
ISPin1	IS1595	Psychromonas ingrahamii	1039
ISPko7	IS110	Paracoccus kondratievae	1140
ISPla1	IS1595	Parvibaculum lavamentivorans	1132
ISPlba1	IS1182	Planctomycetes bacterium	1584
ISPlba2	IS1595	Planctomycetes bacterium	1024
ISPlba3	IS1595	Planctomycetes bacterium	957
ISPlba4	IS1595	Planctomycetes bacterium	736
ISPlba5	IS1595	Planctomycetes bacterium	1021
ISPlge4	IS110	Pluralibacter gergoviae	1342
ISPlpa1	IS1380	Plesiocystis pacifica	1849
ISPlpa2	IS1182	Plesiocystis pacifica	1572
ISPlu13	IS110	Photorhabdus luminescens	1357
ISPlu21	IS1595	Photorhabdus luminescens	717
ISPlu4	IS1634	Photorhabdus luminescens	1760
ISPma1	IS1595	Photobacterium mandapamensis	1026
ISPme1	IS1380	Paracoccus methylutens	1671
ISPmi3	IS1	Proteus mirabilis	783
ISPmo1	IS1182	Pseudomonas monteilii	1655
ISPna2	IS1595	Polaromonas naphthalenivorans	1049
ISPosp3	IS1595	Polaromonas sp.	1050
ISPosp7	IS1380	Polaromonas sp.	1612
ISPosp8	IS1595	Polaromonas sp.	1055
ISPph1	IS1634	Pelodictyon phaeoclathratiforme	1849
ISPph3	IS1380	Pelodictyon phaeoclathratiforme	1810
ISPph4	IS1380	Pelodictyon phaeoclathratiforme	1763
ISPpi1	IS1595	Psychrobacter piscatorii	715
ISPpr5	IS1595	Photobacterium profundum	973
ISPpr6	IS1595	Photobacterium profundum	1039
ISPpr8	IS110	Photobacterium profundum	1364
ISPpu10	IS110	Pseudomonas putida	1314
ISPpu11	IS110	Pseudomonas putida	1348
ISPpu16	IS1182	Pseudomonas putida	1677
ISPpu20	IS1182	Pseudomonas putida	1598
ISPpu24	IS110		1382
ISPpu25	IS110	Pseudomonas putida	1378
ISPpu31	IS110	Pseudomonas putida	1377
ISPpu5	IS110	Pseudomonas putida	1355
ISPpu9	IS110	Pseudomonas putida	2043
ISPrmu1	IS1595	Prevotella multisaccharivorax	1078
ISPros1	IS1595	Propionibacterium sp.	1040
ISPrsp1	IS1595	Parabacteroides sp.	983
ISPse1	IS1182	Paracoccus seriniphilus	1653
ISPsh1	IS1595	Plesiomonas shigelloides	717
ISPsko2	IS1182	Pseudomonas koreensis	1596
ISPsp5	IS1182	Pseudomonas sp.	1617
ISPsp9	IS1380	Pseudomonas sp.	1718
ISPssp2	IS1	Psychrobacter sp.	789
ISPssp3	IS1595	Psychrobacter sp.	708
ISPst13	IS1182	Pseudomonas stutzeri	1512
ISPst6	IS110	Pseudomonas stutzeri	1371
ISPsta1	IS1595	Pseudomonas taeanensis	1027
ISPsy16	IS110	Pseudomonas syringae	1461
ISPsy27	IS1182	Pseudomonas syringae	1596
ISPsy35	IS110	Pseudomonas syringae	1701
ISPsy36	IS1182	Pseudomonas syringae	1658
ISPsy6	IS1182	Pseudomonas syringae	1603
ISPsy7	IS110	Pseudomonas syringae	1348
ISPte1	IS1595	Photorhabdus temperata	1011
ISPti1	IS1182	Prevotella timonensis	1765
ISPto1	IS1595	Psychroflexus torquis	1081
ISPto10	IS1595	Psychroflexus torquis	969
ISPto11	IS1595	Psychroflexus torquis	958
ISPto6	IS1380	Psychroflexus torquis	1692
ISPtu2	IS110	Pseudoalteromonas tunicata	1201
ISPvsp1	IS1595	Prevotella sp.	1090
ISPvsp2	IS1595	Prevotella sp.	1076
ISPxa1	IS1595	Pseudomonas xanthomarina	1026
ISPxsp1	IS1595	Pseudoxanthomonas spadix	1061
ISPye16	IS110	Paracoccus yeei	1355
ISPye17	IS110	Paracoccus yeei	1529
ISPye18	IS1182	Paracoccus yeei	1660
ISPye19	IS110	Paracoccus yeei	1522
ISPye21	IS110	Paracoccus yeei	1356
ISPye22	IS110	Paracoccus yeei	1354
ISPye25	IS110	Paracoccus yeei	1452
ISPye26	IS110	Paracoccus yeei	1363
ISPye27	IS110	Paracoccus yeei	1351
ISPye29	IS1182	Paracoccus yeei	1449
ISPye32	IS110	Paracoccus yeei	1468
ISPye4	IS1182	Paracoccus yeei	1509
ISPye46	IS110	Paracoccus yeei	1361
ISPye47	IS110	Paracoccus yeei	1362
ISPye48	IS110	Paracoccus yeei	1457
ISPye55	IS1182	Paracoccus yeei	1600
ISPye59	IS110	Paracoccus yeei	1154
ISRama1	IS1595	Ralstonia mannitolilytica	1090
ISRan1	IS1595	Riemerella anatipestifer	815
ISRbac1	IS1182	Rhodobacteraceae bacterium	1544
ISRce2	IS1182	Rhodospirillum centenum	1528
ISRcl1	IS1595	Rubrimonas cliftonensis	1183
ISRel25	IS110	Rhizobium etli	1638
ISRel7	IS110	Rhizobium etli	1342
ISRel9	IS110	Rhizobium etli	1571
ISRer1	IS1380	Rhodococcus erythropolis	1687
ISRfsp2	IS110	Roseiflexus sp.	1160
ISRgn3	IS1380	Ruminococcus gnavus	1658
ISRhba1	IS1595	Rhodobacterales bacterium	2457
ISRhosp7	IS110	Rhodococcus sp.	1455
ISRhosp8	IS110	Rhodococcus sp.	1439
ISRhru1	IS1595	Rhodospirillum rubrum	1029
ISRhru3	IS110	Rhodospirillum rubrum	1382
ISRhtr1	IS1595	Rhizobium sp.	2124
ISRjo1	IS1380	Rhodococcus jostii	1967
ISRle1	IS110	Rhizobium leguminosarum	1409
ISRle11	IS1182	Rhizobium leguminosarum	1527
ISRm32	IS1595	Sinorhizobium meliloti	1190
ISRmsp2	IS1182	Ruminococcus sp.	1687
ISRop1	IS1380	Rhodococcus opacus	4160
ISRop3	IS1595	Rhodococcus opacus	1007
ISRosp3	IS1595	Roseobacter sp.	3472
ISRpa1	IS1595	Rhodopseudomonas palustris	2091
ISRpa10	IS1182	Rhodopseudomonas palustris	1500
ISRpa4	IS1595	Rhodopseudomonas palustris	4218
ISRps1	IS1595	Rhodonellum psychrophilum	1042
ISRso22	IS1595	Ralstonia solanacearum	1052
ISRsp20	IS1182	Rhizobium sp.	1559
ISRsp21	IS1595	Rhodospira trueperi	1033
ISRsp4	IS110	Rhizobium sp.	1398
ISRsp7	IS1380	Rhizobium sp.	2024
ISRssp12	IS1182	Roseovarius sp.	1554
ISRssp2	IS1595	Roseovarius sp.	4633
ISRssp8	IS1380	Roseovarius sp.	1614
ISRssp9	IS1380	Roseovarius sp.	1716
ISRsy1	IS1595	Ralstonia syzygii	1090
ISRta3	IS110	Ralstonia taiwanensis	1574
ISRta4	IS110	Ralstonia taiwanensis	1915
ISRxy1	IS1182	Rubrobacter xylanophilus	1790
ISSaen1	IS110	Salmonella enteritidis	1294
ISSag10	IS1595	Streptococcus agalactiae	1724
ISSag8	IS1182	Streptococcus agalactiae	1538
ISSam1	IS110	Streptomyces ambofaciens	1489
ISSat1	IS1595	Sinomonas atrocyanea	1518
ISSau3	IS1182	Staphylococcus aureus	1946
ISSba19	IS110	Shewanella baltica	1373
ISSba8	IS110	Shewanella baltica	1331
ISSbe1	IS1595	Shewanella benthica	1020
ISSbe2	IS1595	Shewanella benthica	975
ISSce1	IS1	Sorangium cellulosum	4601
ISScsp1	IS1595	Scalindua sp.	1009
ISSde11	IS110	Shewanella denitrificans	1525
ISSde13	IS110	Shewanella denitrificans	1196
ISSde14	IS110	Shewanella denitrificans	1351
ISSde4	IS110	Shewanella denitrificans	1379
ISSdi1	IS1182	Streptomyces diastaticus	1789
ISSen9	IS1	Salmonella enterica	768
ISSep1	IS1182	Staphylococcus epidermidis	1936
ISSep2	IS110	Staphylococcus epidermidis	1564
ISSeq4	IS1634	Streptococcus equi	1916
ISSer1	IS110	Saccharopolyspora erythraea	1447
ISSfl4	IS110	Shigella flexneri	1451
ISSfl8	IS110	Shigella flexneri	1357
ISSfr1	IS110	Sinorhizobium fredii	1360
ISSfr2	IS110	Sinorhizobium fredii	1534
ISSfr4	IS1595	Sinorhizobium fredii	2158
ISSfu1	IS1380	Syntrophobacter fumaroxidans	1666
ISSgr1	IS110	Streptomyces griseus	1544
ISShal1	IS1634	Sphaerochaeta halotolerans	1802
ISShdy1	IS110	Shigella dysenteriae	1666
ISShes12	IS1634	Shewanella sp.	1614
ISShes7	IS110	Shewanella sp.	1352
ISShfr3	IS110	Shewanella frigidimarina	1521
ISShfr7	IS110	Shewanella frigidimarina	1611
ISShsp1	IS110	Sphingomonas sp.	1404
ISShsp2	IS1182	Sphingomonas sp.	1526
ISShsp4	IS1595	Sphingomonas sp.	1150
ISShvi1	IS1595	Shewanella violacea	1026
ISShwo3	IS110	Shewanella woodyi	1205
ISShwo5	IS110	Shewanella woodyi	1611
ISSko1	IS110	Stenotrophomonas koreensis	1521
ISSlo1	IS110	Shewanella loihica	1345
ISSlsp1	IS1380	Sulfurovum sp.	1661
ISSm1	IS110	Serratia marcescens	1369
ISSm3	IS110	Serratia marcescens	1168
ISSmi2	IS1182	Streptococcus mitis	1798
ISSod11	IS1595	Shewanella oneidensis	1040
ISSod14	IS110	Shewanella oneidensis	1438
ISSod19	IS110	Shewanella oneidensis	1379
ISSod21	IS110	Shewanella oneidensis	1345
ISSp1	IS1380	Sphingomonas paucimobilis	1646
ISSpe2	IS110	Shewanella pealeana	1383
ISSpe4	IS110	Shewanella pealeana	1364
ISSpgl1	IS1595	Sporosarcina globispora	1842
ISSpi2	IS110	Shewanella piezotolerans	1398
ISSpi3	IS110	Shewanella piezotolerans	1593
ISSpi5	IS110	Shewanella piezotolerans	1212
ISSpi6	IS110	Shewanella piezotolerans	1309
ISSpn10	IS110	Streptococcus pneumoniae	1536
ISSpn5	IS1380	Streptococcus pneumoniae	1703
ISSpo1	IS110	Silicibacter pomeroyi	1363
ISSpo2	IS1380	Silicibacter pomeroyi	1664
ISSpo3	IS1595	Silicibacter pomeroyi	1947
ISSpo8	IS1595	Silicibacter pomeroyi	1863
ISSpps1	IS1595	Sporosarcina psychrophila	2516
ISSptr1	IS1595	Spongiibacter tropicus	1049
ISSpu19	IS1380	Shewanella putrefaciens	1648
ISSpu22	IS110	Shewanella putrefaciens	1373
ISSpu7	IS1634	Shewanella putrefaciens	1761
ISSru2	IS1	Salinibacter ruber	808
ISSru3	IS1	Salinibacter ruber	808
ISSso1	IS110	Shigella sonnei	1443
ISSso6	IS110	Shigella sonnei	1518
ISSst2	IS1595	Sagittula stellata	3454
ISSsu10	IS110	Streptococcus suis	1523
ISSsu5	IS1380	Streptococcus suis	1683
ISSsu7	IS110	Streptococcus suis	1619
ISSsu9	IS1595	Streptococcus suis	1796
ISStac1	IS110	Streptomyces aculeolatus	1484
ISStau7	IS1182	Stigmatella aurantiaca	1716
ISStau8	IS1182	Stigmatella aurantiaca	1749
ISSth2	IS1182	Streptococcus salivarius	1539
ISStin3	IS1182	Streptococcus iniae	1692
ISStin8	IS1182	Streptococcus iniae	1795
ISStma4	IS110	Stenotrophomonas maltophilia	1249
ISStma6	IS110	Stenotrophomonas maltophilia	1093
ISStma7	IS110	Stenotrophomonas maltophilia	1223
ISStma8	IS110	Stenotrophomonas maltophilia	1224
ISSto4	IS110	Sulfolobus tokodaii	1484
ISSto5	IS110	Sulfolobus tokodaii	1191
ISSto6	IS110	Sulfolobus tokodaii	1246
ISSto7	IS1	Sulfolobus tokodaii	1174
ISSto9	IS1	Sulfolobus tokodaii	796
ISStr1	IS1380	Salinispora tropica	1664
ISStsp11	IS1182	Streptomyces sp.	2197
ISStsp3	IS1380	Streptomyces sp.	1925
ISSwe1	IS1595	Sphingobacterium wenxiniae	944
ISSwo3	IS1182	Syntrophomonas wolfei	1695
ISSysp1	IS1595	Synechococcus sp.	1032
ISSyth1	IS1182	Symbiobacterium thermophilum	1528
ISSyth2	IS1182	Symbiobacterium thermophilum	1687
ISTaba1	IS1595	Tagabacteria bacterium	713
ISTars1	IS1182	Thiomonas arsenitoxydans	1656
ISTdr2	IS1595	Thiorhodococcus drewsii	1036
ISTeha6	IS1380	Tetragenococcus halophilus	1675
ISTesp4	IS1595	Terrabacter sp.	1005
ISTfo1	IS1595	Tannerella forsythia	997
ISTha4	IS1595	Thauera sp.	1042
ISThba1	IS1182	Thermoanaerobacterales bacterium	1541
ISThde1	IS1595	Thiobacillus denitrificans	961
ISThio2	IS1595	Thiorhodovibrio sp.	1056
ISThli1	IS1595	Thalassobaculum litoreum	4402
ISThph1	IS1182	Thauera phenylacetica	1674
ISThsp1	IS1182	Thiomonas sp.	1539
ISThsp12	IS1634	Thiomonas sp.	2004
ISThsp13	IS1380	Thiomonas sp.	1583
ISThsp16	IS1182	Thiomonas sp.	1602
ISThsp17	IS1595	Thiomonas sp.	1044
ISThsp18	IS1182	Thiomonas sp.	1330
ISThsp22	IS1182	Thiomonas sp.	1725
ISThsp23	IS1595	Thiomonas sp.	1069
ISThsp7	IS1634	Thiomonas sp.	1920
ISThsp8	IS1634	Thiomonas sp.	1929
ISThu1	IS1182	Thauera humireducens	1637
ISThy1	IS1595	Thermomonas hydrothermalis	1069
ISTico1	IS1595	Tistlia consotensis	4119
ISTisp1	IS1595	Thiocapsa sp.	1047
ISTme1	IS1595	Thalassobius mediterraneus	1611
ISTne1	IS1595	Thiomargarita nelsonii	731
ISTni3	IS1595	Thioalkalivibrio nitratireducens	1048
ISTps2	IS1380	Thermoanaerobacter pseudethanolicus	1750
ISTro1	IS1380	Thiocapsa roseopersicina	1735
ISTsu2	IS1182	Thermaerobacter subterraneus	1570
ISTsu3	IS1182	Thermaerobacter subterraneus	1554
ISTte1	IS1182	Thermoanaerobacter tengcongensis	1566
ISTth3	IS1634	Thermus thermophilus	1682
ISTusp1	IS1595	Turicibacter sp.	1720
ISTvi2	IS1182	Thiocystis violascens	1648
ISTvo4	IS1634	Thermoplasma volcanium	1525
ISUnb1	IS1595	bacterium L21-Spi-D4	970
ISUnb2	IS1595	bacterium L21-Spi-D4	970
ISUnb3	IS1595	unclassified Bacteria	1030
ISUnb4	IS1595	unclassified Bacteria	1031
ISUnCu1	IS110	uncultured bacterium	1381
ISUnCu12	IS1380	Uncultured marine	1597
ISUnCu17	IS1182	Uncultured bacterium	1481
ISUnCu23	IS1595	Uncultured bacterium	1045
ISVa17	IS1634	Vibrio anguillarum	1820
ISVal3	IS1595	Vibrio alginolyticus	1019
ISVapa1	IS1595	Variovorax paradoxus	1088
ISVasp2	IS1595	Variovorax sp.	1045
ISVasp3	IS1595	Variovorax sp.	1087
ISVasp4	IS1595	Variovorax sp.	1096
ISVasp5	IS1595	Variovorax sp.	1105
ISVei6	IS1182	Verminephrobacter eiseniae	1688
ISVer1	IS1595	Bacterium Ellin514	2783
ISVers1	IS1595	Verrucomicrobium sp.	993
ISVfl1	IS1595	Vibrio fluvialis	1754
ISVha2	IS1182	Vibrio harveyi	1593
ISVisp2	IS110	Vibrio splendidus	1571
ISVisp6	IS110	Vibrio splendidus	1364
ISVpa1	IS110	Vibrio parahaemolyticus	1318
ISVsp1	IS1634	Verrucomicrobium spinosum	2082
ISVsp10	IS110	Verrucomicrobium spinosum	1614
ISVsp16	IS1182	Verrucomicrobium spinosum	1579
ISVsp19	IS1380	Verrucomicrobium spinosum	1802
ISVsp2	IS1634	Verrucomicrobium spinosum	2089
ISVsp8	IS1380	Verrucomicrobium spinosum	1802
ISVsp9	IS1182	Verrucomicrobium spinosum	1730
ISVva1	IS1380	Victivallis vadensis	1741
ISVvu1	IS1	Vibrio vulnificus	793
ISWen2	IS110	Wolbachia endosymbiont	1415
ISWpi12	IS110	Wolbachia pipientis	1384
ISWpi13	IS110	Wolbachia pipientis	1618
ISWpi14	IS110	Wolbachia pipientis	1288
ISXca4	IS1595	Xanthomonas campestris	1072
ISXne4	IS110	Xenorhabdus nematophila	1433
ISXo16	IS1595	Xanthomonas oryzae	1072
ISXo2	IS1595	Xanthomomas oryzae	1070
ISXo5	IS1595	Xanthomonas oryzae	1058
ISXpo1	IS110	Xenorhabdus poinarii	1360
ISXtr1	IS1595	Xanthomonas translucens	1062
ISYen1	IS110	Yersinia enterocolitica	1376
ISYen4	IS1182	Yersinia enterocolitica	1597
ISYps2	IS110	Yersinia pseudotuberculosis	1577
ISYps7	IS1	Yersinia pseudotuberculosis	737
MITEHsal1	IS1595	Halobacterium salinarum	154
MITEHsal12	IS1595	Halobacterium salinarum	166
MITEHwa2	IS1595	Haloquadratum walsbyi	165
MITEHwa3	IS1595	Haloquadratum walsbyi	119
MITEHwa4	IS1595	Haloquadratum walsbyi	118
MITENamo4	IS1595	Natronomonas moolapensis	165
MITEPye1	IS1182	Paracoccus yeei	159
IS100	IS21	Yersinia pestis	1953
IS1004	IS200/IS605	Vibrio cholerae	620
IS100kyp	IS21	Yersinia pseudotuberculosis	1954
IS100L	IS21	Yersinia pestis	1950
IS100X	IS21	Yersinia pestis	1924
IS1081	IS256	Mycobacterium bovis	1435
IS1090	IS256	Ralstonia eutropha	1343
IS1113	IS256	Xanthomonas oryzae	1306
IS1132	IS256	Corynebacterium diphtheriae	1441
IS1136	IS200/IS605	Saccharopolyspora erythraea	1402
IS1162	IS21	Pseudomonas fluorescens	2634
IS1164	IS256	Rhodococcus rhodochrous	1430
IS1166	IS256	Rhodococcus sp.	1469
IS1191	IS256	Streptococcus thermophilus	1313
IS1201	IS256	Lactobacillus helveticus	1371
IS1245	IS256	Mycobacterium avium	1414
IS1249	IS256	Corynebacterium xerosis	1385
IS1253A	IS200/IS605	Dichelobacter nodosus	1689
IS1253B	IS200/IS605	Dichelobacter nodosus	1698
IS1295	IS256	Rhodococcus sp.	1456
IS1310	IS256	Enterococcus hirae	1352
IS1311	IS256	Mycobacterium avium	1416
IS1326	IS21	Pseudomonas aeruginosa	2470
IS1341	IS200/IS605	Thermophilic bacterium	1353
IS1354	IS256	Methylobacterium dichloromethanicum	1431
IS1356	IS256	Burkholderia cepacia	1354
IS1395	IS256	Mycobacterium xenopi	1323
IS1407	IS256	Mycobacterium celatum	1399
IS1408	IS256	Mycobacterium branderi	1325
IS1413	IS256	Burkholderia cepacia	1428
IS1414	IS256	Escherichia coli	1314
IS1415	IS21	Rhodococcus erythropolis	2580
IS1469	IS200/IS605	Clostridium perfringens	717
IS1474	IS21	Pseudomonas alcaligenes	2632
IS1490	IS256	Burkholderia cepacia	1433
IS1491	IS21	Pseudomonas alcaligenes	2620
IS1511	IS256	Mycobacterium gordonae	1278
IS1512	IS256	Mycobacterium gordonae	1314
IS1541A	IS200/IS605	Yersinia pseudotuberculosis	710
IS1541B	IS200/IS605	Yersinia pseudotuberculosis	710
IS1541C	IS200/IS605	Yersinia enterocolitica	709
IS1541D	IS200/IS605	Yersinia enterocolitica	710
IS1542	IS256	Enterococcus faecium	1324
IS1553	IS256	Mycobacterium tuberculosis	1406
IS1554	IS256	Mycobacterium tuberculosis	1462
IS16	IS256	Enterococcus faecalis	1466
IS1600	IS21	Ralstonia eutropha	2520
IS1601	IS256	Mycobacterium avium	1417
IS1612	IS21	Mycobacterium avium	2532
IS1631	IS21	Bradyrhizobium japonicum	2712
IS1632	IS256	Bradyrhizobium japonicum	1394
IS200	IS200/IS605	Salmonella typhimurium	709
IS200C	IS200/IS605	Escherichia coli	709
IS200F	IS200/IS605	Salmonella typhimurium	710
IS200G	IS200/IS605	Yersinia pestis	710
IS200H	IS200/IS605	Salmonella abortusovis	707
IS200S	IS200/IS605	Streptococcus pneumoniae	587
IS21	IS21	Pseudomonas aeruginosa	2131
IS232	IS21	Bacillus thuringiensis	2184
IS256	IS256	Staphylococcus aureus	1324
IS2606	IS256	Mycobacterium ulcerans	1404
IS285	IS256	Yersinia pestis	1318
IS3503	IS256	Corynebacterium jeikeium	1380
IS3506	IS256	Corynebacterium jeikeium	1423
IS3507	IS256	Corynebacterium jeikeium	1388
IS3509	IS256	Corynebacterium jeikeium	1380
IS406	IS256	Burkholderia cepacia	1367
IS408	IS21	Burkholderia cepacia	2798
IS4502	IS256	Caedibacter taeniospiralis	1422
IS5376	IS21	Bacillus stearothermophilus	2107
IS605	IS200/IS605	Helicobacter pylori	1887
IS606	IS200/IS605	Helicobacter pylori	1967
IS609	IS200/IS605	Escherichia coli	1748
IS6120	IS256	Mycobacterium smegmatis	1486
IS640	IS21	Shigella sonnei	2130
IS643	IS21	Bacillus halodurans	2485
IS654	IS256	Bacillus halodurans	1384
IS657	IS200/IS605	Bacillus halodurans	734
IS666	IS256	Mycobacterium avium	1472
IS712	IS21	Lactococcus lactis	2163
IS8301	IS200/IS605	Deinococcus radiodurans	1741
IS891	IS200/IS605	Anabaena sp.	1352
IS905	IS256	Lactococcus lactis	1313
IS931	IS256	Burkholderia cepacia	1477
ISAac1	IS200/IS605	Actinobacillus actinomycetemcomitans	712
ISAac3	IS200/IS605	Aggregatibacter actinomycetemcomitans	722
ISAar33	IS21	Arthrobacter arilaitensis	2628
ISAar36	IS21	Arthrobacter arilaitensis	2571
ISAar5	IS256	Arthrobacter arilaitensis	1341
ISAar6	IS256	Arthrobacter arilaitensis	1519
ISAar7	IS21	Arthrobacter arilaitensis	2983
ISAau2	IS21	Arthrobacter aurescens	2222
ISAav1	IS21	Acidovorax avenae	2532
ISAba26	IS256	Acinetobacter baumannii	1318
ISAba30	IS200/IS605	Acinetobacter baumannii	1769
ISAba42	IS256	Acinetobacter baumannii	1320
ISAba50	IS256	Acinetobacter baumannii	1314
ISAba8	IS21	Acinetobacter baumannii	1867
ISAbe10	IS256	Acinetobacter bereziniae	1313
ISAcma26	IS21	Acaryochloris marina	2669
ISAcma38	IS21	Acaryochloris marina	2708
ISAcma39	IS200/IS605	Acaryochloris marina	584
ISAcma50	IS21	Acaryochloris marina	2718
ISAcma7	IS256	Acaryochloris marina	1347
ISActu1	IS256	Actinomyces turicensis	1440
ISAde5	IS256	Anaeromyxobacter dehalogenans	1270
ISAeca7	IS256	Aeromonas caviae	1379
ISAeme17	IS21	Aeromonas media	1941
ISAeme25	IS256	Aeromonas media	1385
ISAeme8	IS200/IS605	Aeromonas media	1739
ISAeme9	IS200/IS605	Aeromonas media	1332
ISAfe12	IS21	Acidithiobacillus ferrooxidans	2660
ISAfe2	IS256	Acidithiobacillus ferrooxidans	1124
ISAfe8	IS200/IS605	Acidithiobacillus ferrooxidans	1472
ISAfe9	IS21	Acidithiobacillus ferrooxidans	2503
ISAisp6	IS21	Acidovorax sp.	2657
ISAisp7	IS21	Acidovorax sp.	2501
ISAlde1	IS21	Alicycliphilus denitrificans	2501
ISAlde2	IS21	Alicycliphilus denitrificans	2501
ISAli13	IS21	Azospirillum lipoferum	2756
ISAli19	IS200/IS605	Azospirillum lipoferum	1336
ISAli6	IS256	Azospirillum lipoferum	1437
ISAli7	IS256	Azospirillum lipoferum	1416
ISAlisp1	IS21	Alicycliphilus sp.	2520
ISAlsp1	IS21	Alcaligenes sp.	2501
ISAmas1	IS256	Actinobaculum massiliae	1411
ISAnsp14	IS256	Anaeromyxobacter sp.	1629
ISAnsp4	IS21	Anaeromyxobacter sp.	2195
ISAnsp5	IS21	Anaeromyxobacter sp.	2192
ISAod1	IS256	Actinomyces odontolyticus	1334
ISApr10	IS256	Alpha proteobacterium	1366
ISApr14	IS256	alpha proteobacterium	1316
ISAri1	IS21	Aeromonas rivuli	1942
ISArsp4	IS256	Arthrobacter sp.	1400
